i,j,k,abs,arg,re,im
0,0,0,1.673445e-6,-1.726661e-1,1.648561e-6,-2.875136e-7
0,0,1,4.462956e-16,1.632192e-1,4.403640e-16,7.252100e-17
0,0,2,1.604680e-10,4.406734e-1,1.451376e-10,6.844741e-11
0,0,3,9.861735e-6,2.557089e0,-8.224551e-6,5.441559e-6
0,0,4,2.206714e-5,2.127813e0,-1.166594e-5,1.873138e-5
0,0,5,1.625670e-5,5.850598e-1,1.355287e-5,8.977750e-6
0,0,6,7.516964e-7,-3.107286e0,-7.512541e-7,-2.578347e-8
0,0,7,2.123754e-14,1.764934e0,-4.097155e-15,2.083858e-14
0,0,8,3.451481e-6,4.668158e-1,3.082193e-6,1.553322e-6
0,0,9,7.590114e-6,2.195834e0,-4.441185e-6,6.155137e-6
0,1,0,4.462956e-16,1.632192e-1,4.403640e-16,7.252100e-17
0,1,1,4.564192e-23,5.248733e-1,3.949794e-23,2.287132e-23
0,1,2,7.879884e-18,3.746459e-1,7.333314e-18,2.883588e-18
0,1,3,5.172457e-13,2.753042e0,-4.786898e-13,1.959573e-13
0,1,4,1.205683e-12,2.092348e0,-6.007031e-13,1.045384e-12
0,1,5,1.069535e-12,6.221661e-1,8.691232e-13,6.233214e-13
0,1,6,5.966736e-14,-2.734629e0,-5.479415e-14,-2.361769e-14
0,1,7,1.237489e-21,2.071633e0,-5.941921e-22,1.085502e-21
0,1,8,2.010646e-13,6.276580e-1,1.627427e-13,1.180754e-13
0,1,9,3.734660e-13,2.777821e0,-3.490270e-13,1.328798e-13
0,2,0,1.604680e-10,4.406734e-1,1.451376e-10,6.844741e-11
0,2,1,7.879884e-18,3.746459e-1,7.333314e-18,2.883588e-18
0,2,2,3.609073e-11,1.355179e0,7.721634e-12,3.525503e-11
0,2,3,1.423783e-6,-2.592628e0,-1.214579e-6,-7.429357e-7
0,2,4,5.398968e-6,2.669007e0,-4.807210e-6,2.457557e-6
0,2,5,3.134644e-6,1.948992e0,-1.157448e-6,2.913126e-6
0,2,6,3.324068e-7,1.682335e0,-3.699936e-8,3.303412e-7
0,2,7,2.005209e-16,1.232508e0,6.654741e-17,1.891562e-16
0,2,8,2.717097e-7,5.333705e-1,2.339687e-7,1.381477e-7
0,2,9,9.717875e-7,-1.301609e0,2.584449e-7,-9.367909e-7
0,3,0,9.861735e-6,2.557089e0,-8.224551e-6,5.441559e-6
0,3,1,5.172457e-13,2.753042e0,-4.786898e-13,1.959573e-13
0,3,2,1.423783e-6,-2.592628e0,-1.214579e-6,-7.429357e-7
0,3,3,1.370661e-1,-5.867206e-1,1.141432e-1,-7.588431e-2
0,3,4,1.515921e-1,-1.824985e0,-3.811941e-2,-1.467211e-1
0,3,5,1.862264e-1,2.605885e0,-1.601375e-1,9.505927e-2
