i,j,k,abs,arg,re,im
0,0,0,6.171049e-1,2.923193e-1,5.909261e-1,1.778335e-1
0,0,1,2.507867e-1,-2.760989e0,-2.328405e-1,-9.316254e-2
0,0,2,3.441658e-1,-2.658274e0,-3.047443e-1,-1.599407e-1
0,0,3,8.406792e-2,2.281357e-1,8.188970e-2,1.901296e-2
0,0,4,3.019406e-13,-1.321121e-1,2.993095e-13,-3.977408e-14
0,0,5,4.231453e-13,-2.216359e0,-2.545844e-13,-3.379921e-13
0,0,6,2.184333e-1,-2.428579e0,-1.652217e-1,-1.428807e-1
0,0,7,1.018184e-1,-1.978046e0,-4.032880e-2,-9.349100e-2
0,0,8,7.812434e-1,1.881652e0,-2.389618e-1,7.438001e-1
0,1,0,2.507867e-1,-2.760989e0,-2.328405e-1,-9.316254e-2
0,1,1,1.798522e-1,8.540145e-1,1.181560e-1,1.355949e-1
0,1,2,2.604001e-1,-5.948747e-1,2.156682e-1,-1.459295e-1
0,1,3,9.767985e-2,7.751417e-2,9.738655e-2,7.563993e-3
0,1,4,1.368442e-13,-2.363766e0,-9.749329e-14,-9.602807e-14
0,1,5,2.269347e-13,-1.320437e0,5.622359e-14,-2.198597e-13
0,1,6,2.567279e-2,9.419816e-1,1.510039e-2,2.076224e-2
0,1,7,1.428695e-1,-8.249207e-2,1.423837e-1,-1.177224e-2
0,1,8,1.842140e-1,-7.388098e-1,1.361840e-1,-1.240513e-1
0,2,0,3.441658e-1,-2.658274e0,-3.047443e-1,-1.599407e-1
0,2,1,2.604001e-1,-5.948747e-1,2.156682e-1,-1.459295e-1
0,2,2,9.542377e-2,-9.350315e-1,5.666198e-2,-7.677966e-2
0,2,3,4.366557e-2,2.537366e0,-3.593421e-2,2.480754e-2
0,2,4,6.954938e-13,5.727856e-1,5.844892e-13,3.769404e-13
0,2,5,2.998723e-13,2.124252e0,-1.576218e-13,2.551054e-13
0,2,6,3.436610e-1,-1.513959e0,1.952242e-2,-3.431061e-1
0,2,7,2.375746e-1,1.178554e0,9.081552e-2,2.195318e-1
0,2,8,3.667106e-1,-1.257443e0,1.130388e-1,-3.488536e-1
0,3,0,8.406792e-2,2.281357e-1,8.188970e-2,1.901296e-2
0,3,1,9.767985e-2,7.751417e-2,9.738655e-2,7.563993e-3
0,3,2,4.366557e-2,2.537366e0,-3.593421e-2,2.480754e-2
0,3,3,4.396543e-2,-1.554106e0,7.337782e-4,-4.395931e-2
