candidate,k,n_basis_truncated,n_basis_native,n_basis_actual,seed,sigma_final,sigma_fs_identity,residual_donaldson,iterations_run,elapsed_s
TY,3,15,87,15,42,1.1761733025e1,1.6254396016e1,7.2881969275e-4,8,0.163916
TY,3,15,87,15,100,3.4568789976e0,3.7338230735e0,8.2568015952e-4,8,0.174305
TY,3,15,87,15,12345,7.0921331819e0,1.0341089389e1,7.8271089860e-4,8,0.158155
TY,3,15,87,15,7,4.1294230145e0,5.1446465934e0,4.6762619976e-4,8,0.155388
TY,3,15,87,15,99,6.1631309756e0,7.8624626869e0,7.4607903873e-4,8,0.153642
TY,3,20,87,20,42,3.9108181746e0,4.7009972854e0,5.8447068367e-4,10,0.220079
TY,3,20,87,20,100,2.8124547777e0,3.2465820654e0,5.4618766365e-4,10,0.215860
TY,3,20,87,20,12345,5.6300896063e0,4.3037127039e0,5.9191429925e-4,10,0.216200
TY,3,20,87,20,7,8.1006960286e0,5.0505152917e0,4.8798777113e-4,10,0.208625
TY,3,20,87,20,99,1.3357831611e1,6.1710171310e0,5.2074702061e-4,10,0.227923
TY,3,25,87,25,42,3.5539608421e0,4.2651751706e0,6.1697542937e-4,9,0.269322
TY,3,25,87,25,100,2.3959408355e0,2.4581279694e0,4.7643624895e-4,9,0.271138
TY,3,25,87,25,12345,4.4449949231e0,3.9159329451e0,4.9504903500e-4,9,0.265528
TY,3,25,87,25,7,3.5938750168e0,4.7590247558e0,4.9658318944e-4,9,0.267882
TY,3,25,87,25,99,2.8017253709e0,4.0306998797e0,5.3938597766e-4,9,0.282996
TY,3,27,87,27,42,2.6324408799e1,1.9779059330e1,6.9410996064e-4,9,0.312434
TY,3,27,87,27,100,5.5670892791e0,3.8840433961e0,7.7359384700e-4,9,0.306526
TY,3,27,87,27,12345,1.4645094529e2,3.1430933023e1,8.3824558455e-4,9,0.323049
TY,3,27,87,27,7,1.9873199924e1,2.4919348784e1,9.3892849108e-4,8,0.291161
TY,3,27,87,27,99,5.0022095437e0,6.1306180082e0,6.4488952816e-4,9,0.319526
TY,3,35,87,35,42,5.5995111869e0,5.2898054572e0,5.6336398182e-4,10,0.468958
TY,3,35,87,35,100,3.8160064573e0,4.6257934340e0,5.0786330534e-4,10,0.480762
TY,3,35,87,35,12345,8.7894309777e0,1.0874604366e1,5.3019864290e-4,10,0.468524
TY,3,35,87,35,7,4.1764273999e0,7.3605381371e0,4.7801810223e-4,10,0.479208
TY,3,35,87,35,99,3.2058735674e0,3.4691366245e0,5.1686055615e-4,10,0.497282
TY,3,50,87,50,42,4.1112730575e0,6.9520303236e0,6.2943744405e-4,9,0.979196
TY,3,50,87,50,100,1.9608215213e0,2.4851754824e0,8.6094249761e-4,9,0.901690
TY,3,50,87,50,12345,2.5425003874e0,3.7695172906e0,8.9275486104e-4,9,0.941207
TY,3,50,87,50,7,1.8337161659e0,2.2310260014e0,5.6138901093e-4,8,0.865459
TY,3,50,87,50,99,1.6045928806e0,1.9977540377e0,7.2571411286e-4,9,0.921519
TY,3,87,87,87,42,2.7736396222e-1,4.2171234217e-1,7.8146854164e-4,7,1.866321
TY,3,87,87,87,100,2.5782914691e-1,4.0007315063e-1,8.7564628372e-4,8,2.106429
TY,3,87,87,87,12345,2.6478032131e-1,4.0999324553e-1,5.0925418305e-4,9,2.375774
TY,3,87,87,87,7,2.8127168279e-1,4.2096210756e-1,6.3782329347e-4,8,2.104813
TY,3,87,87,87,99,2.7449105803e-1,4.2416152636e-1,8.0195764796e-4,8,2.067112
TY,3,-1,87,87,42,2.7736396222e-1,4.2171234217e-1,7.8146854164e-4,7,1.884792
TY,3,-1,87,87,100,2.5782914691e-1,4.0007315063e-1,8.7564628372e-4,8,2.126747
TY,3,-1,87,87,12345,2.6478032131e-1,4.0999324553e-1,5.0925418305e-4,9,2.349145
TY,3,-1,87,87,7,2.8127168279e-1,4.2096210756e-1,6.3782329347e-4,8,2.150786
TY,3,-1,87,87,99,2.7449105803e-1,4.2416152636e-1,8.0195764796e-4,8,2.105087
Schoen,3,15,27,15,42,1.0447670234e1,5.6664413702e0,9.7702780236e-4,11,0.192785
Schoen,3,15,27,15,100,8.8444765596e0,6.0832189825e0,5.0594710919e-4,10,0.179844
Schoen,3,15,27,15,12345,1.4080443321e1,1.2655508569e1,7.8087310266e-4,15,0.261940
Schoen,3,15,27,15,7,1.3422920521e1,9.4970711882e0,7.1978736380e-4,11,0.193702
Schoen,3,15,27,15,99,2.7790582976e1,2.4387823927e1,5.6807031807e-4,11,0.197408
Schoen,3,20,27,20,42,2.0820495478e1,6.1755059771e0,6.7757837874e-4,12,0.246294
Schoen,3,20,27,20,100,1.3129692881e1,5.5906208540e0,7.1107472320e-4,14,0.273656
Schoen,3,20,27,20,12345,2.9939619520e1,5.2702444132e0,1.3453039065e-3,25,0.431118
Schoen,3,20,27,20,7,1.3245147872e1,6.7914294404e0,7.6280222099e-4,14,0.269116
Schoen,3,20,27,20,99,2.1985802009e1,3.6800544806e1,5.5590510427e-4,9,0.197891
Schoen,3,25,27,25,42,4.3964142055e0,3.1293617685e0,9.5533738606e-4,13,0.357751
Schoen,3,25,27,25,100,2.8187820530e0,1.8521073638e0,9.5777318541e-4,22,0.560462
Schoen,3,25,27,25,12345,5.5905040566e1,2.7307277834e0,8.2093633958e-4,20,0.511363
Schoen,3,25,27,25,7,5.2575355566e1,2.8350488185e0,9.0676052048e-4,23,0.599604
Schoen,3,25,27,25,99,6.0292100306e0,7.4135310637e0,8.1988256104e-4,8,0.245491
Schoen,3,27,27,27,42,4.0790250201e0,2.2228405409e0,9.3017721671e-4,14,0.456761
Schoen,3,27,27,27,100,3.0592841126e0,1.2299991018e0,1.2750348822e-3,25,0.737806
Schoen,3,27,27,27,12345,5.0828608061e1,1.5941158713e0,7.7525986392e-4,17,0.524963
Schoen,3,27,27,27,7,1.7462492775e2,1.7640386566e0,1.3198093862e-3,25,0.738127
Schoen,3,27,27,27,99,3.1179053553e0,2.7029481661e0,8.9841397965e-4,8,0.289777
Schoen,3,-1,27,27,42,4.0790250201e0,2.2228405409e0,9.3017721671e-4,14,0.433452
Schoen,3,-1,27,27,100,3.0592841126e0,1.2299991018e0,1.2750348822e-3,25,0.733866
Schoen,3,-1,27,27,12345,5.0828608061e1,1.5941158713e0,7.7525986392e-4,17,0.529237
Schoen,3,-1,27,27,7,1.7462492775e2,1.7640386566e0,1.3198093862e-3,25,0.747189
Schoen,3,-1,27,27,99,3.1179053553e0,2.7029481661e0,8.9841397965e-4,8,0.541270
TY,2,-1,28,28,42,3.6419254936e-1,3.2118176965e-1,6.8400442683e-4,5,0.757825
TY,2,-1,28,28,100,3.2487803825e-1,2.9462034010e-1,4.1327998895e-4,6,0.639767
TY,2,-1,28,28,12345,3.6154412394e-1,3.1762125713e-1,5.7922069706e-4,6,0.789735
TY,2,-1,28,28,7,3.4879174195e-1,3.1101329202e-1,5.6418666094e-4,6,0.659341
TY,2,-1,28,28,99,3.6247519708e-1,3.1701793112e-1,6.7572384415e-4,6,0.577218
Schoen,2,-1,12,12,42,1.8438917840e0,1.4026228696e0,8.2341395559e-4,8,0.428766
Schoen,2,-1,12,12,100,1.2137272868e0,8.5719278426e-1,5.1174709646e-4,9,0.436157
Schoen,2,-1,12,12,12345,1.8385090895e0,9.8664288994e-1,8.0183411610e-4,11,0.484999
Schoen,2,-1,12,12,7,1.8102727824e0,1.2475771177e0,5.7762669015e-4,9,0.417915
Schoen,2,-1,12,12,99,1.1472180376e0,8.5178844207e-1,7.5608041283e-4,6,0.409643
TY,3,-1,87,87,42,2.7736396222e-1,4.2171234217e-1,7.8146854164e-4,7,3.556808
TY,3,-1,87,87,100,2.5782914691e-1,4.0007315063e-1,8.7564628372e-4,8,3.073792
TY,3,-1,87,87,12345,2.6478032131e-1,4.0999324553e-1,5.0925418305e-4,9,2.717876
TY,3,-1,87,87,7,2.8127168279e-1,4.2096210756e-1,6.3782329347e-4,8,2.085853
TY,3,-1,87,87,99,2.7449105803e-1,4.2416152636e-1,8.0195764796e-4,8,2.095743
Schoen,3,-1,27,27,42,4.0790250201e0,2.2228405409e0,9.3017721671e-4,14,0.446708
Schoen,3,-1,27,27,100,3.0592841126e0,1.2299991018e0,1.2750348822e-3,25,0.757514
Schoen,3,-1,27,27,12345,5.0828608061e1,1.5941158713e0,7.7525986392e-4,17,0.515924
Schoen,3,-1,27,27,7,1.7462492775e2,1.7640386566e0,1.3198093862e-3,25,0.831306
Schoen,3,-1,27,27,99,3.1179053553e0,2.7029481661e0,8.9841397965e-4,8,0.295932
TY,4,-1,200,200,42,2.9345077619e-1,6.5442091594e-1,9.5976599170e-4,16,20.555820
TY,4,-1,200,200,100,2.7603839467e-1,6.1257150738e-1,9.9646692765e-4,17,23.373364
TY,4,-1,200,200,12345,2.8121531077e-1,6.4147545844e-1,9.9225290404e-4,17,24.510611
TY,4,-1,200,200,7,2.9908136296e-1,6.4111316606e-1,9.7958713450e-4,16,22.179016
TY,4,-1,200,200,99,2.9426423086e-1,6.6303008434e-1,7.5039579761e-4,17,22.604301
Schoen,4,-1,48,48,42,6.7498477368e0,2.3026460487e0,9.6026121577e-4,38,3.114972
Schoen,4,-1,48,48,100,1.8326432517e0,1.9542456941e0,6.5559058734e-4,19,1.605565
Schoen,4,-1,48,48,12345,1.3637231318e1,2.7523920841e0,9.0192435687e-4,26,2.242208
Schoen,4,-1,48,48,7,2.0325417229e1,2.7352023012e0,8.3368111136e-4,24,2.010927
Schoen,4,-1,48,48,99,5.9187776525e0,6.6770134663e0,9.9684203107e-4,18,1.521607
