candidate,k,n_basis_truncated,n_basis_native,n_basis_actual,seed,sigma_final,sigma_fs_identity,residual_donaldson,iterations_run,elapsed_s
TY,3,15,87,15,42,6.2488236971e0,8.2143901704e0,5.1603042241e-7,18,1.347361
TY,3,15,87,15,100,1.5244568152e2,3.2524908928e2,9.2722768613e-7,17,1.273566
TY,3,15,87,15,12345,8.5395500121e0,7.9331721933e0,5.0147780215e-7,18,1.398499
TY,3,15,87,15,7,7.7309039195e0,7.5660234354e0,8.0429286942e-7,17,1.318877
TY,3,15,87,15,99,4.8635167561e0,6.0388381852e0,5.7527908026e-7,18,1.393496
TY,3,15,87,15,1,6.6292533099e0,1.4181654060e1,9.7155350933e-7,17,1.349955
TY,3,15,87,15,2,6.7097239222e0,8.6416495546e0,5.9135220880e-7,18,1.497400
TY,3,15,87,15,3,5.2735945853e0,7.2000862413e0,5.4437065181e-7,18,1.453142
TY,3,15,87,15,4,4.6213119494e0,5.5319613072e0,6.2197965008e-7,18,1.393514
TY,3,15,87,15,5,1.8945586532e1,3.8666175295e1,5.0094217085e-7,18,1.534631
TY,3,15,87,15,137,4.9064632449e0,8.6660970736e0,6.0401060594e-7,17,1.337924
TY,3,15,87,15,271,2.0559891447e1,1.1890847094e1,5.4851141733e-7,18,1.539131
TY,3,15,87,15,314,8.6599225624e0,1.9246903518e1,6.6481037656e-7,18,1.529040
TY,3,15,87,15,666,4.7424895936e0,5.3749467455e0,5.6773845906e-7,18,1.421188
TY,3,15,87,15,1000,4.8081545628e0,5.2651392946e0,9.4120154149e-7,17,1.449342
TY,3,15,87,15,2024,1.8309790173e1,1.1692854887e1,9.8150651967e-7,17,1.306693
TY,3,15,87,15,4242,5.0255473645e0,5.7765840559e0,5.9233869671e-7,18,1.484588
TY,3,15,87,15,57005,9.7527168164e1,3.9336592392e1,6.3856601104e-7,18,1.546047
TY,3,15,87,15,48879,7.5915059412e0,7.1905915518e0,5.2966890350e-7,18,1.483671
TY,3,15,87,15,51966,7.8554151208e0,7.2657638015e0,5.7861483131e-7,18,1.566993
TY,3,20,87,20,42,3.8553919509e0,4.5508207164e0,5.6178807965e-7,19,1.876665
TY,3,20,87,20,100,9.6725581428e0,4.3215148789e0,4.8163154661e-7,19,1.826972
TY,3,20,87,20,12345,6.8138554488e0,4.6915191406e0,6.2143348333e-7,19,1.933890
TY,3,20,87,20,7,4.9016059970e0,4.3045774323e0,9.8106656263e-7,18,1.848764
TY,3,20,87,20,99,1.0481889943e1,5.5141403891e0,5.4554873884e-7,19,1.849131
TY,3,20,87,20,1,2.6421255790e1,4.0402324913e0,5.7640998440e-7,19,1.939484
TY,3,20,87,20,2,5.6091507731e0,6.8603961945e0,5.8939061093e-7,19,1.763861
TY,3,20,87,20,3,5.8258884310e0,7.5755555929e0,5.7332878973e-7,19,1.871182
TY,3,20,87,20,4,6.6887926184e0,8.6413824328e0,5.3055920279e-7,19,2.022948
TY,3,20,87,20,5,2.9019465749e1,2.1107354936e1,5.5037934754e-7,19,1.805108
TY,3,20,87,20,137,3.6291600002e0,3.8641597607e0,9.9769197185e-7,18,1.750395
TY,3,20,87,20,271,6.1079389994e0,5.4372057021e0,5.6113767574e-7,19,1.880148
TY,3,20,87,20,314,2.0917409801e1,8.0307991892e0,5.8827112497e-7,19,1.887060
TY,3,20,87,20,666,8.4344295322e0,1.0987211390e1,5.0341200280e-7,19,1.841726
TY,3,20,87,20,1000,1.9054247192e1,1.1144032087e1,5.1120836864e-7,19,1.950195
TY,3,20,87,20,2024,4.9343297649e0,4.8843733020e0,5.4319648947e-7,19,1.823350
TY,3,20,87,20,4242,8.1625639999e0,7.7960941793e0,4.8606990135e-7,19,1.934141
TY,3,20,87,20,57005,3.8086869319e0,4.1412426701e0,6.4707979091e-7,19,1.816397
TY,3,20,87,20,48879,7.3490753710e0,5.8851592391e0,4.8050467819e-7,19,1.805559
TY,3,20,87,20,51966,9.3491579414e0,6.8254974221e0,4.7581809568e-7,19,1.872399
TY,3,25,87,25,42,3.1627559109e0,3.9610640203e0,7.0009910122e-7,18,2.655397
TY,3,25,87,25,100,3.2692572253e0,3.2373537234e0,5.4213841604e-7,18,2.523883
TY,3,25,87,25,12345,3.5065003491e0,3.8890810442e0,7.2903507916e-7,18,2.649114
TY,3,25,87,25,7,3.1262494448e0,3.8665238007e0,6.3405941687e-7,18,2.620303
TY,3,25,87,25,99,3.2012625494e0,3.9242727415e0,6.9301501072e-7,18,2.618297
TY,3,25,87,25,1,2.8412611021e0,3.5765323987e0,8.3166391762e-7,18,2.532096
TY,3,25,87,25,2,4.2734384866e0,6.0769963822e0,5.7841044019e-7,18,2.655549
TY,3,25,87,25,3,3.9076482944e0,8.8994564155e0,6.4354787422e-7,18,2.579795
TY,3,25,87,25,4,3.3435725679e0,3.3910736560e0,7.3024017830e-7,18,2.683289
TY,3,25,87,25,5,2.8499002163e0,3.3421275914e0,6.5357424698e-7,18,2.520525
TY,3,25,87,25,137,2.9138770804e0,3.4508907047e0,9.4867947593e-7,17,2.569952
TY,3,25,87,25,271,2.9400712946e0,3.8124278452e0,6.6579182735e-7,18,2.511324
TY,3,25,87,25,314,3.4303700333e0,4.8376178924e0,6.8909483974e-7,18,2.688531
TY,3,25,87,25,666,3.0695263139e0,3.9530504707e0,5.9547939954e-7,18,2.668623
TY,3,25,87,25,1000,3.9511264068e0,4.3903828704e0,6.4337728224e-7,18,2.689522
TY,3,25,87,25,2024,2.7818300608e0,3.7649275355e0,6.6650439953e-7,18,2.811174
TY,3,25,87,25,4242,3.2043719732e0,4.0170359827e0,5.8922290503e-7,18,2.689332
TY,3,25,87,25,57005,3.2740349309e0,3.5275873615e0,7.3236656206e-7,18,2.847918
TY,3,25,87,25,48879,6.0369431794e0,5.3824853349e0,6.2137919170e-7,18,2.717595
TY,3,25,87,25,51966,6.7582238486e0,7.6757192420e0,6.1252890385e-7,18,2.742704
TY,3,27,87,27,42,1.2579215404e1,1.0810342837e1,6.8914997455e-7,19,3.605050
TY,3,27,87,27,100,1.9526103102e1,1.5200108646e1,6.7322358556e-7,19,3.643872
TY,3,27,87,27,12345,9.3776329544e1,5.5933597559e1,8.3850327499e-7,19,3.560691
TY,3,27,87,27,7,9.9247022342e0,1.2475690236e1,9.8492687786e-7,18,3.273960
TY,3,27,87,27,99,5.1601908589e1,3.1323500788e1,8.8230208273e-7,19,3.567634
TY,3,27,87,27,1,1.4399943638e1,2.2190312168e1,8.3442159288e-7,19,3.469689
TY,3,27,87,27,2,8.5317471999e0,7.8298879595e0,8.9222345931e-7,19,3.472529
TY,3,27,87,27,3,4.8885318900e0,6.4698968640e0,8.4357068978e-7,19,3.592914
TY,3,27,87,27,4,7.3857977666e0,7.5974227083e0,8.2096959285e-7,19,3.647655
TY,3,27,87,27,5,1.3055101874e2,1.7791376576e1,7.0603538033e-7,19,3.547745
TY,3,27,87,27,137,1.5787522824e1,1.3445021507e1,5.4495539348e-7,19,3.620631
TY,3,27,87,27,271,1.1068596106e1,1.0268901991e1,8.1469333395e-7,19,3.660066
TY,3,27,87,27,314,1.5489473706e1,1.6097539571e1,9.6125973472e-7,19,3.650622
TY,3,27,87,27,666,1.1401960612e1,1.1384393785e1,7.9476969919e-7,19,3.589729
TY,3,27,87,27,1000,7.8407860385e1,8.9605118183e1,6.3113289467e-7,19,3.475966
TY,3,27,87,27,2024,1.3586630467e1,2.6270132803e1,7.4018600103e-7,19,3.465522
TY,3,27,87,27,4242,6.6607711413e0,8.3646308291e0,7.4378213906e-7,19,3.483179
TY,3,27,87,27,57005,8.9191148835e0,1.1918651717e1,9.5523071714e-7,19,3.740690
TY,3,27,87,27,48879,1.0843387943e2,1.3880798182e2,6.6983805475e-7,19,3.611922
TY,3,27,87,27,51966,1.1963116303e1,9.7077091656e0,7.5969969005e-7,19,3.529724
TY,3,35,87,35,42,3.8069169954e0,4.2930562154e0,4.6776942678e-7,19,5.580891
TY,3,35,87,35,100,1.1044634119e1,4.8726570132e1,9.1636659495e-7,18,4.912238
TY,3,35,87,35,12345,7.4432070494e0,1.8319840640e1,4.9201908028e-7,19,5.067122
TY,3,35,87,35,7,1.0379739404e1,8.1881301495e0,9.2051789087e-7,18,4.878277
TY,3,35,87,35,99,5.4179846607e0,5.6795164745e0,4.6437568409e-7,19,5.442264
TY,3,35,87,35,1,1.2845626937e1,1.2323335987e1,4.9351847760e-7,19,5.145346
TY,3,35,87,35,2,9.9760206405e0,8.4071222633e0,9.6313553153e-7,18,5.352302
TY,3,35,87,35,3,3.0745445479e0,4.4041561865e0,4.7277010906e-7,19,5.729128
TY,3,35,87,35,4,7.2542841349e0,5.3435615830e0,9.6539399235e-7,18,4.915957
TY,3,35,87,35,5,2.6044012912e1,1.4467657515e1,9.6673424607e-7,18,4.912263
TY,3,35,87,35,137,1.7654999142e1,1.3236123521e1,8.7020929934e-7,18,4.931863
TY,3,35,87,35,271,4.7709964999e0,4.6034276522e0,9.6264256491e-7,18,5.089442
TY,3,35,87,35,314,5.8802914102e0,6.3936845764e0,9.8760329989e-7,18,5.084754
TY,3,35,87,35,666,3.6111790093e0,6.2368509097e0,9.0623923964e-7,18,4.814552
TY,3,35,87,35,1000,6.2363984443e0,5.5598235605e0,9.3646650147e-7,18,4.717562
TY,3,35,87,35,2024,7.6779546712e0,4.5421255544e0,9.9554491254e-7,18,4.826865
TY,3,35,87,35,4242,5.5613692953e0,4.6165981876e0,8.8130035560e-7,18,4.803956
TY,3,35,87,35,57005,5.1687893159e0,4.5447430777e0,5.1038932623e-7,19,5.421447
TY,3,35,87,35,48879,9.4914099684e0,4.8050583229e1,9.0803521509e-7,18,5.128001
TY,3,35,87,35,51966,9.8248132076e0,7.0508733273e0,8.9719319560e-7,18,5.230037
TY,3,50,87,50,42,2.1577505428e0,3.1503282415e0,6.6645756245e-7,19,12.344743
TY,3,50,87,50,100,5.1483117200e0,6.1774603997e0,6.6516868549e-7,19,12.891197
TY,3,50,87,50,12345,2.6785074578e0,4.6777392746e0,7.9086887926e-7,19,13.076932
TY,3,50,87,50,7,2.8596847076e0,4.8735797996e0,9.6104098854e-7,18,11.870019
TY,3,50,87,50,99,2.1727651790e0,3.1022020838e0,8.7349588057e-7,19,12.737282
TY,3,50,87,50,1,6.1282132569e0,8.7997996677e0,7.3809066536e-7,19,13.032358
TY,3,50,87,50,2,3.8328644410e0,4.0280548399e0,8.8951434862e-7,19,12.718120
TY,3,50,87,50,3,1.5680906368e0,1.9688947838e0,8.1985597733e-7,19,13.090416
TY,3,50,87,50,4,2.0935668493e0,3.5140120716e0,8.5024968537e-7,19,13.211582
TY,3,50,87,50,5,6.0243017913e0,6.2317597529e0,6.7178263636e-7,19,19.773139
TY,3,50,87,50,137,6.9397102530e0,1.1370627599e1,9.3909368504e-7,18,17.334799
TY,3,50,87,50,271,3.5295810623e0,6.5200509515e0,8.0918456277e-7,19,18.839681
TY,3,50,87,50,314,4.8007408060e0,9.5564888909e0,9.8175989143e-7,19,18.784720
TY,3,50,87,50,666,1.7670756333e0,2.7916042370e0,8.4312073559e-7,19,18.589552
TY,3,50,87,50,1000,3.6289808468e0,4.8722856954e0,5.9978850117e-7,19,18.081220
TY,3,50,87,50,2024,5.4812827704e0,9.8163899143e0,6.8140602635e-7,19,18.739534
TY,3,50,87,50,4242,2.3464326048e0,3.6752547361e0,8.1056962725e-7,19,19.272994
TY,3,50,87,50,57005,2.4735605163e0,3.3047335624e0,9.1852157067e-7,19,21.092388
TY,3,50,87,50,48879,3.0524730925e0,5.3044929206e0,6.7936787860e-7,19,23.405931
TY,3,50,87,50,51966,2.3414701338e0,3.0853208067e0,7.9571328494e-7,19,20.212139
TY,3,87,87,87,42,2.6666226971e-1,4.0907579018e-1,5.2574731142e-7,17,58.974776
TY,3,87,87,87,100,2.6191440934e-1,4.1624836793e-1,7.5864750256e-7,16,57.925874
TY,3,87,87,87,12345,2.6738296392e-1,4.1734866127e-1,6.2765904820e-7,16,96.945240
TY,3,87,87,87,7,2.6921542411e-1,4.1252981998e-1,8.5946073861e-7,17,269.984828
TY,3,87,87,87,99,2.6232179972e-1,4.0710479591e-1,8.1622955346e-7,17,434.539325
TY,3,87,87,87,1,2.6796838798e-1,4.0798253673e-1,9.4981581499e-7,17,407.518764
TY,3,87,87,87,2,2.6652091056e-1,4.0375959545e-1,7.2035126515e-7,17,408.048638
TY,3,87,87,87,3,2.6655633800e-1,4.0585667987e-1,5.8881430111e-7,17,390.771562
TY,3,87,87,87,4,2.6308447598e-1,4.0296871164e-1,6.1161292774e-7,17,417.930766
TY,3,87,87,87,5,2.7125307530e-1,4.1987204707e-1,5.0225322663e-7,17,436.007150
TY,3,87,87,87,137,2.6612954265e-1,4.1104901971e-1,6.6330097257e-7,17,373.432755
TY,3,87,87,87,271,2.6724378048e-1,4.0480982546e-1,8.2228332399e-7,17,429.591467
TY,3,87,87,87,314,2.6818846902e-1,4.0904858824e-1,4.8792120516e-7,18,418.358669
TY,3,87,87,87,666,2.6918437017e-1,4.1855141150e-1,5.8226770190e-7,17,394.623990
TY,3,87,87,87,1000,2.6535946604e-1,4.1025857074e-1,8.2362014753e-7,17,414.958171
TY,3,87,87,87,2024,2.6754559912e-1,4.1021191976e-1,7.2283716567e-7,17,411.676553
TY,3,87,87,87,4242,2.6552421138e-1,4.0652323047e-1,6.3298857109e-7,17,425.592948
TY,3,87,87,87,57005,2.6627695976e-1,4.0709902779e-1,8.8274872367e-7,17,409.968897
TY,3,87,87,87,48879,2.6360008217e-1,4.0778109341e-1,8.9482728234e-7,16,371.611728
TY,3,87,87,87,51966,2.6971253770e-1,4.1187076821e-1,5.9837533232e-7,17,428.079435
TY,3,-1,87,87,42,2.6666226971e-1,4.0907579018e-1,5.2574731142e-7,17,388.055273
TY,3,-1,87,87,100,2.6191440934e-1,4.1624836793e-1,7.5864750256e-7,16,421.191501
TY,3,-1,87,87,12345,2.6738296392e-1,4.1734866127e-1,6.2765904820e-7,16,376.453334
TY,3,-1,87,87,7,2.6921542411e-1,4.1252981998e-1,8.5946073861e-7,17,437.214405
TY,3,-1,87,87,99,2.6232179972e-1,4.0710479591e-1,8.1622955346e-7,17,426.154084
TY,3,-1,87,87,1,2.6796838798e-1,4.0798253673e-1,9.4981581499e-7,17,421.499008
TY,3,-1,87,87,2,2.6652091056e-1,4.0375959545e-1,7.2035126515e-7,17,383.927780
TY,3,-1,87,87,3,2.6655633800e-1,4.0585667987e-1,5.8881430111e-7,17,282.314623
TY,3,-1,87,87,4,2.6308447598e-1,4.0296871164e-1,6.1161292774e-7,17,184.606562
TY,3,-1,87,87,5,2.7125307530e-1,4.1987204707e-1,5.0225322663e-7,17,182.554098
TY,3,-1,87,87,137,2.6612954265e-1,4.1104901971e-1,6.6330097257e-7,17,183.422403
TY,3,-1,87,87,271,2.6724378048e-1,4.0480982546e-1,8.2228332399e-7,17,187.390366
TY,3,-1,87,87,314,2.6818846902e-1,4.0904858824e-1,4.8792120516e-7,18,206.355940
TY,3,-1,87,87,666,2.6918437017e-1,4.1855141150e-1,5.8226770190e-7,17,227.205157
TY,3,-1,87,87,1000,2.6535946604e-1,4.1025857074e-1,8.2362014753e-7,17,183.760124
TY,3,-1,87,87,2024,2.6754559912e-1,4.1021191976e-1,7.2283716567e-7,17,99.160162
TY,3,-1,87,87,4242,2.6552421138e-1,4.0652323047e-1,6.3298857109e-7,17,35.424930
TY,3,-1,87,87,57005,2.6627695976e-1,4.0709902779e-1,8.8274872367e-7,17,33.757764
TY,3,-1,87,87,48879,2.6360008217e-1,4.0778109341e-1,8.9482728234e-7,16,31.966786
TY,3,-1,87,87,51966,2.6971253770e-1,4.1187076821e-1,5.9837533232e-7,17,33.587838
Schoen,3,15,27,15,42,6.1487351546e3,1.4624678296e1,3.8717665414e-5,100,8.169917
Schoen,3,15,27,15,100,5.5013197906e2,2.4753491152e1,2.5123969724e-3,15,2.026439
Schoen,3,15,27,15,12345,2.3699128292e1,2.7949143254e1,8.8780425654e-7,23,2.079718
Schoen,3,15,27,15,7,1.2139614787e1,8.2583137255e0,7.3066178965e-7,27,2.421407
Schoen,3,15,27,15,99,1.5929025230e1,1.2994191812e1,8.9198530564e-7,28,2.465010
Schoen,3,15,27,15,1,1.2365817652e1,9.5965621634e0,8.9470534106e-7,25,2.215234
