candidate,k,n_basis_truncated,n_basis_native,n_basis_actual,seed,sigma_final,sigma_fs_identity,residual_donaldson,iterations_run,elapsed_s
TY,3,15,87,15,42,6.2488236971e0,8.2143901704e0,5.1603042241e-7,18,1.357165
TY,3,20,87,20,42,3.8553919509e0,4.5508207164e0,5.6178807965e-7,19,1.828414
TY,3,25,87,25,42,3.1627559109e0,3.9610640203e0,7.0009910122e-7,18,2.635872
TY,3,27,87,27,42,1.2579215404e1,1.0810342837e1,6.8914997455e-7,19,3.279704
TY,3,35,87,35,42,3.8069169954e0,4.2930562154e0,4.6776942678e-7,19,5.307057
TY,3,50,87,50,42,2.1577505428e0,3.1503282415e0,6.6645756245e-7,19,12.440542
TY,3,87,87,87,42,2.6666226971e-1,4.0907579018e-1,5.2574731142e-7,17,32.420851
TY,3,-1,87,87,42,2.6666226971e-1,4.0907579018e-1,5.2574731142e-7,17,32.420310
Schoen,3,15,27,15,42,6.1487351546e3,1.4624678296e1,3.8717665414e-5,100,6.891967
Schoen,3,20,27,20,42,1.2884947600e2,1.1101708996e1,8.8921857835e-7,46,4.110568
Schoen,3,25,27,25,42,1.0083242554e1,4.6973925716e0,6.8407613649e-7,30,4.181141
Schoen,3,27,27,27,42,8.1946389844e0,2.0654051566e0,9.3564616021e-7,26,4.476699
Schoen,3,-1,27,27,42,8.1946389844e0,2.0654051566e0,9.3564616021e-7,26,4.794049
TY,2,-1,28,28,42,3.5081907441e-1,3.0823224082e-1,4.1195786820e-7,13,2.726171
Schoen,2,-1,12,12,42,4.1703595120e1,1.2896974203e0,8.4764739005e-7,59,2.720342
TY,3,-1,87,87,42,2.6666226971e-1,4.0907579018e-1,5.2574731142e-7,17,31.395902
Schoen,3,-1,27,27,42,8.1946389844e0,2.0654051566e0,9.3564616021e-7,26,4.439209
TY,4,-1,200,200,42,2.8010119670e-1,6.2800870601e-1,9.9549236338e-7,27,266.115901
Schoen,4,-1,48,48,42,5.5951419093e0,2.4652464467e0,1.3393675775e-4,32,63.236211
