i,j,k,abs,arg,re,im
0,0,0,5.226961e-1,2.709982e-1,5.036199e-1,1.399223e-1
0,0,1,4.759588e-1,-1.802336e-1,4.682491e-1,-8.532010e-2
0,0,2,7.341908e-2,-2.568765e0,-6.169933e-2,-3.979390e-2
0,0,3,4.509472e-2,-1.115954e-1,4.481422e-2,-5.021923e-3
0,0,4,1.977668e-13,2.680432e0,-1.771074e-13,8.800388e-14
0,0,5,3.284674e-12,1.453494e0,3.844177e-13,3.262102e-12
0,0,6,2.929778e-1,2.515720e0,-2.374445e-1,1.716278e-1
0,0,7,1.887898e-1,-3.370292e-1,1.781688e-1,-6.242994e-2
0,0,8,5.294877e-1,-2.193719e0,-3.089093e-1,-4.300375e-1
0,1,0,4.759588e-1,-1.802336e-1,4.682491e-1,-8.532010e-2
0,1,1,4.821838e-1,-1.139247e0,2.016870e-1,-4.379766e-1
0,1,2,1.541175e-1,1.867531e0,-4.506385e-2,1.473820e-1
0,1,3,2.121527e-1,-1.517716e0,1.125579e-2,-2.118539e-1
0,1,4,2.200705e-13,-1.003587e-1,2.189631e-13,-2.204893e-14
0,1,5,3.127110e-12,-1.197388e0,1.140741e-12,-2.911619e-12
0,1,6,2.029014e-1,-1.394623e0,3.556122e-2,-1.997608e-1
0,1,7,6.553148e-1,-2.273461e0,-4.234994e-1,-5.000858e-1
0,1,8,3.308548e-1,2.187016e0,-1.912189e-1,2.700005e-1
0,2,0,7.341908e-2,-2.568765e0,-6.169933e-2,-3.979390e-2
0,2,1,1.541175e-1,1.867531e0,-4.506385e-2,1.473820e-1
0,2,2,1.155836e-1,-1.749966e-1,1.138183e-1,-2.012366e-2
0,2,3,3.036518e-2,3.128463e-2,3.035032e-2,9.498086e-4
0,2,4,7.331493e-14,-3.277407e-1,6.941253e-14,-2.360043e-14
0,2,5,1.504631e-12,-2.926056e0,-1.469817e-12,-3.217979e-13
0,2,6,9.270013e-2,2.162871e0,-5.173440e-2,7.692116e-2
0,2,7,2.450673e-1,-2.575582e0,-2.068484e-1,-1.314220e-1
0,2,8,1.392456e-1,1.906967e0,-4.593354e-2,1.314513e-1
0,3,0,4.509472e-2,-1.115954e-1,4.481422e-2,-5.021923e-3
0,3,1,2.121527e-1,-1.517716e0,1.125579e-2,-2.118539e-1
0,3,2,3.036518e-2,3.128463e-2,3.035032e-2,9.498086e-4
0,3,3,8.520038e-2,2.431510e0,-6.460812e-2,5.554184e-2
0,3,4,1.001263e-13,-2.367344e0,-7.158492e-14,-7.000622e-14
0,3,5,2.661211e-12,2.802755e0,-2.509899e-12,8.845615e-13
0,3,6,1.601621e-1,2.580380e0,-1.355948e-1,8.524040e-2
0,3,7,1.287117e-1,-4.121122e-1,1.179355e-1,-5.155488e-2
0,3,8,1.368029e-1,9.231454e-1,8.253521e-2,1.091008e-1
0,4,0,1.977668e-13,2.680432e0,-1.771074e-13,8.800388e-14
0,4,1,2.200705e-13,-1.003587e-1,2.189631e-13,-2.204893e-14
0,4,2,7.331493e-14,-3.277407e-1,6.941253e-14,-2.360043e-14
0,4,3,1.001263e-13,-2.367344e0,-7.158492e-14,-7.000622e-14
0,4,4,1.120616e-24,3.222745e-1,1.062924e-24,3.549268e-25
0,4,5,9.814247e-24,1.839136e0,-2.602059e-24,9.463019e-24
0,4,6,5.237737e-13,2.393834e0,-3.840387e-13,3.561645e-13
0,4,7,1.564072e-13,-3.021806e0,-1.552864e-13,-1.869070e-14
0,4,8,4.146439e-13,-1.975962e0,-1.634406e-13,-3.810732e-13
0,5,0,3.284674e-12,1.453494e0,3.844177e-13,3.262102e-12
0,5,1,3.127110e-12,-1.197388e0,1.140741e-12,-2.911619e-12
0,5,2,1.504631e-12,-2.926056e0,-1.469817e-12,-3.217979e-13
0,5,3,2.661211e-12,2.802755e0,-2.509899e-12,8.845615e-13
0,5,4,9.814247e-24,1.839136e0,-2.602059e-24,9.463019e-24
0,5,5,7.855274e-23,1.772309e0,-1.572246e-23,7.696322e-23
0,5,6,3.315974e-12,8.029082e-1,2.303334e-12,2.385443e-12
0,5,7,6.127133e-12,1.357893e0,1.294655e-12,5.988791e-12
0,5,8,1.621171e-12,1.269365e0,4.813057e-13,1.548076e-12
0,6,0,2.929778e-1,2.515720e0,-2.374445e-1,1.716278e-1
0,6,1,2.029014e-1,-1.394623e0,3.556122e-2,-1.997608e-1
0,6,2,9.270013e-2,2.162871e0,-5.173440e-2,7.692116e-2
0,6,3,1.601621e-1,2.580380e0,-1.355948e-1,8.524040e-2
0,6,4,5.237737e-13,2.393834e0,-3.840387e-13,3.561645e-13
0,6,5,3.315974e-12,8.029082e-1,2.303334e-12,2.385443e-12
0,6,6,8.585777e-1,2.982992e0,-8.478020e-1,1.356004e-1
0,6,7,1.895786e-1,-9.628343e-1,1.082865e-1,-1.556088e-1
0,6,8,1.605411e-1,-1.534306e0,5.856895e-3,-1.604342e-1
0,7,0,1.887898e-1,-3.370292e-1,1.781688e-1,-6.242994e-2
