i,j,k,abs,arg,re,im
0,0,0,5.141181e1,-7.512507e-3,5.141036e1,-3.862279e-1
0,0,1,3.570544e-1,-3.372669e-1,3.369389e-1,-1.181526e-1
0,0,2,3.413340e0,-1.830861e0,-8.777169e-1,-3.298561e0
0,1,0,3.570544e-1,-3.372669e-1,3.369389e-1,-1.181526e-1
0,1,1,3.078303e-2,-1.673078e0,-3.143047e-3,-3.062215e-2
0,1,2,2.933395e-1,3.141336e0,-2.933395e-1,7.537280e-5
0,2,0,3.413340e0,-1.830861e0,-8.777169e-1,-3.298561e0
0,2,1,2.933395e-1,3.141336e0,-2.933395e-1,7.537280e-5
0,2,2,3.995076e0,3.992596e-1,3.680859e0,1.553031e0
1,0,0,3.570544e-1,-3.372669e-1,3.369389e-1,-1.181526e-1
1,0,1,3.078303e-2,-1.673078e0,-3.143047e-3,-3.062215e-2
1,0,2,2.933395e-1,3.141336e0,-2.933395e-1,7.537280e-5
1,1,0,3.078303e-2,-1.673078e0,-3.143047e-3,-3.062215e-2
1,1,1,4.940392e-3,-9.449306e-1,2.894077e-3,-4.003971e-3
1,1,2,2.899821e-2,2.805421e0,-2.737502e-2,9.565804e-3
1,2,0,2.933395e-1,3.141336e0,-2.933395e-1,7.537280e-5
1,2,1,2.899821e-2,2.805421e0,-2.737502e-2,9.565804e-3
1,2,2,1.962971e-1,1.280977e0,5.609767e-2,1.881106e-1
2,0,0,3.413340e0,-1.830861e0,-8.777169e-1,-3.298561e0
2,0,1,2.933395e-1,3.141336e0,-2.933395e-1,7.537280e-5
2,0,2,3.995076e0,3.992596e-1,3.680859e0,1.553031e0
2,1,0,2.933395e-1,3.141336e0,-2.933395e-1,7.537280e-5
2,1,1,2.899821e-2,2.805421e0,-2.737502e-2,9.565804e-3
2,1,2,1.962971e-1,1.280977e0,5.609767e-2,1.881106e-1
2,2,0,3.995076e0,3.992596e-1,3.680859e0,1.553031e0
2,2,1,1.962971e-1,1.280977e0,5.609767e-2,1.881106e-1
2,2,2,2.228663e0,1.348281e-1,2.208437e0,2.995767e-1
